# Winkel Intensität/microwatt Abweichung/microwatt
0    120.53 1.42
10   225.58 2.39
20   250.13 5.56
30   486.48 5.56
40   610.66 6.90
50   698.59 7.99
60   772.61 7.76
70   783.89 6.23
80   753.96 9.83
90   692.02 9.27
100  592.86 7.24
110  464.33 8.00
120  332.73 4.79
130  207.30 2.68
140  110.23 1.09
150  39.74  0.54
160  17.21  0.23
170  42.77  0.48
180  110.40 1.52
190  217.15 2.13
200  346.28 3.67
210  505.45 6.02
220  635.35 8.90
230  749.95 10.32
240  805.56 9.38
250  832.94 10.74
260  794.23 14.32
270  723.82 8.35
280  629.58 9.64
290  480.00 4.81
300  343.54 4.46
310  210.28 1.30
320  108.28 2.31
330  41.37  0.41
340  17.14  0.204
350  45.90  0.603 
